Calculated Penalty,Expected Penalty,Errors
61732,0,Obliczona wartos (61732) nie jest taka sama jak0).
243459,0,Obliczona wartos (243459) nie jest taka sama jak0).
544108,0,Obliczona wartos (544108) nie jest taka sama jak0).
2167784,0,Obliczona wartos (2167784) nie jest taka sama jak0).
2653592,0,Obliczona wartos (2653592) nie jest taka sama jak0).
3391449,0,Obliczona wartos (3391449) nie jest taka sama jak0).
3582755,0,Obliczona wartos (3582755) nie jest taka sama jak0).
4457726,0,Obliczona wartos (4457726) nie jest taka sama jak0).
5857609,0,Obliczona wartos (5857609) nie jest taka sama jak0).
5432960,0,Obliczona wartos (5432960) nie jest taka sama jak0).
